Statistics	Correct_Neighbors
Harmonic-Mean *Jaccard^2	6
Harmonic-Mean *Lengthd^2	6
Harmonic-Mean *AFd^2	6
Harmonic-Mean *Mismatch^2	6
Harmonic-Mean *Canberra^2	6
Harmonic-Mean *Kulczynski1^2	6
Harmonic-Mean *Jensen-Shannon^2	6
Jefferey-Div *K-Div	6
Jefferey-Div *Squared-Chord	6
Jefferey-Div *KL-Cond	6
Jefferey-Div *Markov	6
Jefferey-Div *RRE-k-r	6
Jefferey-Div *EMD	6
Jefferey-Div *Jaccard	6
Jefferey-Div *Lengthd	6
Jefferey-Div *AFd	6
Jefferey-Div *Mismatch	6
Jefferey-Div *Canberra	6
Jefferey-Div *Kulczynski1	6
Jefferey-Div *Jensen-Shannon	6
Jefferey-Div *Manhattan^2	6
Jefferey-Div *Euclidean^2	6
Jefferey-Div *Chi-Squared^2	6
Jefferey-Div *Harmonic-Mean^2	6
Jefferey-Div *Jefferey-Div^2	6
Jefferey-Div *K-Div^2	6
Jefferey-Div *Squared-Chord^2	6
Jefferey-Div *KL-Cond^2	6
Jefferey-Div *Markov^2	6
Jefferey-Div *RRE-k-r^2	6
Jefferey-Div *Jaccard^2	6
Jefferey-Div *AFd^2	6
Jefferey-Div *Mismatch^2	6
Jefferey-Div *Canberra^2	6
Jefferey-Div *Kulczynski1^2	6
Jefferey-Div *Jensen-Shannon^2	6
K-Div *Squared-Chord	6
K-Div *KL-Cond	6
K-Div *Markov	6
K-Div *RRE-k-r	6
K-Div *EMD	6
K-Div *Jaccard	6
K-Div *Lengthd	6
K-Div *AFd	6
K-Div *Mismatch	6
K-Div *Canberra	6
K-Div *Kulczynski1	6
K-Div *Jensen-Shannon	6
K-Div *Manhattan^2	6
K-Div *Euclidean^2	6
K-Div *Chi-Squared^2	6
K-Div *Harmonic-Mean^2	6
K-Div *Jefferey-Div^2	6
K-Div *K-Div^2	6
K-Div *Squared-Chord^2	6
K-Div *KL-Cond^2	6
K-Div *Markov^2	6
K-Div *RRE-k-r^2	6
K-Div *Jaccard^2	6
K-Div *AFd^2	6
K-Div *Mismatch^2	6
K-Div *Canberra^2	6
K-Div *Kulczynski1^2	6
K-Div *Jensen-Shannon^2	6
Pearson-Coeff *Jaccard^2	6
Pearson-Coeff *Mismatch^2	6
Squared-Chord *KL-Cond	6
Squared-Chord *Markov	6
Squared-Chord *RRE-k-r	6
Squared-Chord *Jaccard	6
Squared-Chord *AFd	6
Squared-Chord *Mismatch	6
Squared-Chord *Canberra	6
Squared-Chord *Kulczynski1	6
Squared-Chord *Jensen-Shannon	6
Squared-Chord *Manhattan^2	6
Squared-Chord *Euclidean^2	6
Squared-Chord *Chi-Squared^2	6
Squared-Chord *Harmonic-Mean^2	6
Squared-Chord *Jefferey-Div^2	6
Squared-Chord *K-Div^2	6
Squared-Chord *Squared-Chord^2	6
Squared-Chord *KL-Cond^2	6
Squared-Chord *Markov^2	6
Squared-Chord *RRE-k-r^2	6
Squared-Chord *Jaccard^2	6
Squared-Chord *AFd^2	6
Squared-Chord *Mismatch^2	6
Squared-Chord *Canberra^2	6
Squared-Chord *Kulczynski1^2	6
Squared-Chord *Jensen-Shannon^2	6
KL-Cond *Markov	6
KL-Cond *RRE-k-r	6
KL-Cond *EMD	6
KL-Cond *Jaccard	6
KL-Cond *Lengthd	6
KL-Cond *AFd	6
KL-Cond *Mismatch	6
KL-Cond *Canberra	6
KL-Cond *Kulczynski1	6
KL-Cond *Jensen-Shannon	6
KL-Cond *Manhattan^2	6
KL-Cond *Euclidean^2	6
KL-Cond *Chi-Squared^2	6
KL-Cond *Harmonic-Mean^2	6
KL-Cond *Jefferey-Div^2	6
KL-Cond *K-Div^2	6
KL-Cond *Squared-Chord^2	6
KL-Cond *KL-Cond^2	6
KL-Cond *Markov^2	6
KL-Cond *RRE-k-r^2	6
KL-Cond *EMD^2	6
KL-Cond *Jaccard^2	6
KL-Cond *Lengthd^2	6
KL-Cond *AFd^2	6
KL-Cond *Mismatch^2	6
KL-Cond *Canberra^2	6
KL-Cond *Kulczynski1^2	6
KL-Cond *Jensen-Shannon^2	6
Markov *RRE-k-r	6
Markov *EMD	6
Markov *Jaccard	6
Markov *Lengthd	6
Markov *AFd	6
Markov *Mismatch	6
Markov *Canberra	6
Markov *Kulczynski1	6
Markov *Jensen-Shannon	6
Markov *Manhattan^2	6
Markov *Euclidean^2	6
Markov *Chi-Squared^2	6
Markov *Harmonic-Mean^2	6
Markov *Jefferey-Div^2	6
Markov *K-Div^2	6
Markov *Squared-Chord^2	6
Markov *KL-Cond^2	6
Markov *Markov^2	6
Markov *RRE-k-r^2	6
Markov *Jaccard^2	6
Markov *AFd^2	6
Markov *Mismatch^2	6
Markov *Canberra^2	6
Markov *Kulczynski1^2	6
Markov *Jensen-Shannon^2	6
Intersection *Jaccard^2	6
Intersection *Mismatch^2	6
RRE-k-r *EMD	6
RRE-k-r *Jaccard	6
RRE-k-r *Lengthd	6
RRE-k-r *AFd	6
RRE-k-r *Mismatch	6
RRE-k-r *Canberra	6
RRE-k-r *Kulczynski1	6
RRE-k-r *Jensen-Shannon	6
RRE-k-r *Manhattan^2	6
RRE-k-r *Euclidean^2	6
RRE-k-r *Chi-Squared^2	6
RRE-k-r *Harmonic-Mean^2	6
RRE-k-r *Jefferey-Div^2	6
RRE-k-r *K-Div^2	6
RRE-k-r *Squared-Chord^2	6
RRE-k-r *KL-Cond^2	6
RRE-k-r *Markov^2	6
RRE-k-r *RRE-k-r^2	6
RRE-k-r *EMD^2	6
RRE-k-r *Jaccard^2	6
RRE-k-r *Lengthd^2	6
RRE-k-r *AFd^2	6
RRE-k-r *Mismatch^2	6
RRE-k-r *Canberra^2	6
RRE-k-r *Kulczynski1^2	6
RRE-k-r *Jensen-Shannon^2	6
