Statistics	Correct_Neighbors
Lengthd	5
Hellinger	4
Manhattan	4
Euclidean	4
Chi-Squared	4
Normalized-Vectors	4
Harmonic-Mean	4
Jefferey-Div	4
K-Div	4
Pearson-Coeff	4
Squared-Chord	4
KL-Cond	4
Intersection	4
RRE-k-r	4
D2z	4
SimMM	4
EuclideanZ	4
Spearman	4
Jaccard	4
D2s	4
Mismatch	4
Canberra	4
Kulczynski1	4
Kulczynski2	4
Similarity-ratio	4
Jensen-Shannon	4
D2-star	4
N2r	4
N2rc	4
N2rrc	4
EMD	3
Markov	0
AFd	0
