Statistics	Correct_Neighbors
Pearson-Coeff *D2s^2	8
Pearson-Coeff *AFd^2	8
Pearson-Coeff *Kulczynski2^2	8
Pearson-Coeff *Similarity-ratio^2	8
Pearson-Coeff *Jensen-Shannon^2	8
Pearson-Coeff *D2-star^2	8
Squared-Chord *EuclideanZ	8
Squared-Chord *D2s	8
Squared-Chord *Pearson-Coeff^2	8
Squared-Chord *D2z^2	8
Squared-Chord *EuclideanZ^2	8
Squared-Chord *D2s^2	8
KL-Cond *D2z	8
KL-Cond *SimMM	8
KL-Cond *EuclideanZ	8
KL-Cond *Spearman	8
KL-Cond *D2s	8
KL-Cond *AFd	8
KL-Cond *Kulczynski2	8
KL-Cond *Similarity-ratio	8
KL-Cond *Jensen-Shannon	8
KL-Cond *D2-star	8
KL-Cond *N2r	8
KL-Cond *Normalized-Vectors^2	8
KL-Cond *Harmonic-Mean^2	8
KL-Cond *Jefferey-Div^2	8
KL-Cond *Pearson-Coeff^2	8
KL-Cond *KL-Cond^2	8
KL-Cond *D2z^2	8
KL-Cond *SimMM^2	8
KL-Cond *EuclideanZ^2	8
KL-Cond *D2s^2	8
KL-Cond *AFd^2	8
KL-Cond *Kulczynski2^2	8
KL-Cond *Jensen-Shannon^2	8
KL-Cond *D2-star^2	8
KL-Cond *N2r^2	8
Markov *RRE-k-r	8
Markov *D2s	8
Markov *D2s^2	8
Intersection *D2s	8
Intersection *D2-star	8
Intersection *EuclideanZ^2	8
Intersection *D2s^2	8
Intersection *D2-star^2	8
RRE-k-r *EuclideanZ	8
RRE-k-r *D2s	8
RRE-k-r *D2-star	8
RRE-k-r *EuclideanZ^2	8
RRE-k-r *D2s^2	8
RRE-k-r *Kulczynski2^2	8
RRE-k-r *D2-star^2	8
D2z *SimMM	8
D2z *EuclideanZ	8
D2z *Spearman	8
D2z *D2s	8
D2z *AFd	8
D2z *Kulczynski2	8
D2z *Similarity-ratio	8
D2z *Jensen-Shannon	8
D2z *D2-star	8
D2z *N2r	8
D2z *N2rc	8
D2z *Normalized-Vectors^2	8
D2z *Harmonic-Mean^2	8
D2z *Jefferey-Div^2	8
D2z *K-Div^2	8
D2z *Pearson-Coeff^2	8
D2z *KL-Cond^2	8
D2z *D2z^2	8
D2z *SimMM^2	8
D2z *EuclideanZ^2	8
D2z *Spearman^2	8
D2z *D2s^2	8
D2z *AFd^2	8
D2z *Kulczynski2^2	8
D2z *Similarity-ratio^2	8
D2z *Jensen-Shannon^2	8
D2z *D2-star^2	8
SimMM *EuclideanZ	8
SimMM *Spearman	8
SimMM *D2s	8
SimMM *AFd	8
SimMM *Similarity-ratio	8
SimMM *Jensen-Shannon	8
SimMM *Normalized-Vectors^2	8
SimMM *Harmonic-Mean^2	8
SimMM *Jefferey-Div^2	8
SimMM *Pearson-Coeff^2	8
SimMM *KL-Cond^2	8
SimMM *D2z^2	8
SimMM *SimMM^2	8
SimMM *EuclideanZ^2	8
SimMM *D2s^2	8
SimMM *AFd^2	8
SimMM *Similarity-ratio^2	8
SimMM *Jensen-Shannon^2	8
EuclideanZ *Spearman	8
EuclideanZ *D2s	8
EuclideanZ *AFd	8
EuclideanZ *Kulczynski1	8
EuclideanZ *Kulczynski2	8
EuclideanZ *Similarity-ratio	8
EuclideanZ *Jensen-Shannon	8
EuclideanZ *D2-star	8
EuclideanZ *N2r	8
EuclideanZ *N2rc	8
EuclideanZ *N2rrc	8
EuclideanZ *Hellinger^2	8
EuclideanZ *Normalized-Vectors^2	8
EuclideanZ *Harmonic-Mean^2	8
EuclideanZ *Jefferey-Div^2	8
EuclideanZ *K-Div^2	8
EuclideanZ *Pearson-Coeff^2	8
EuclideanZ *KL-Cond^2	8
EuclideanZ *D2z^2	8
EuclideanZ *SimMM^2	8
EuclideanZ *EuclideanZ^2	8
EuclideanZ *Spearman^2	8
EuclideanZ *D2s^2	8
EuclideanZ *AFd^2	8
EuclideanZ *Kulczynski2^2	8
EuclideanZ *Similarity-ratio^2	8
EuclideanZ *Jensen-Shannon^2	8
EuclideanZ *D2-star^2	8
EuclideanZ *N2r^2	8
EuclideanZ *N2rc^2	8
Spearman *D2s	8
Spearman *Kulczynski2	8
Spearman *Jensen-Shannon	8
Spearman *D2-star	8
Spearman *N2r	8
Spearman *Normalized-Vectors^2	8
Spearman *Harmonic-Mean^2	8
Spearman *Jefferey-Div^2	8
Spearman *Pearson-Coeff^2	8
Spearman *KL-Cond^2	8
Spearman *D2z^2	8
Spearman *SimMM^2	8
Spearman *EuclideanZ^2	8
Spearman *D2s^2	8
Spearman *Kulczynski2^2	8
Spearman *Jensen-Shannon^2	8
Spearman *D2-star^2	8
Spearman *N2r^2	8
Jaccard *D2s	8
Jaccard *D2s^2	8
D2s *Mismatch	8
D2s *Canberra	8
D2s *Kulczynski1	8
D2s *Kulczynski2	8
D2s *Similarity-ratio	8
D2s *Jensen-Shannon	8
D2s *N2r	8
D2s *N2rc	8
D2s *N2rrc	8
D2s *Hellinger^2	8
D2s *Manhattan^2	8
D2s *Euclidean^2	8
D2s *Chi-Squared^2	8
D2s *Normalized-Vectors^2	8
D2s *Harmonic-Mean^2	8
D2s *Jefferey-Div^2	8
D2s *K-Div^2	8
D2s *Pearson-Coeff^2	8
D2s *Squared-Chord^2	8
D2s *KL-Cond^2	8
D2s *Intersection^2	8
D2s *RRE-k-r^2	8
D2s *D2z^2	8
D2s *SimMM^2	8
D2s *EuclideanZ^2	8
D2s *Spearman^2	8
D2s *Canberra^2	8
