Statistics	Correct_Neighbors
Lengthd	5
Lengthd^2	5
Manhattan *EMD^2	5
Manhattan *Lengthd^2	5
Euclidean *EMD^2	5
Euclidean *Lengthd^2	5
Chi-Squared *EMD^2	5
Chi-Squared *Lengthd^2	5
Squared-Chord *EMD^2	5
Squared-Chord *Lengthd^2	5
Markov *EMD^2	5
Markov *Lengthd^2	5
Lengthd *Lengthd^2	5
Kulczynski1 *EMD^2	5
Kulczynski1 *Lengthd^2	5
Similarity-ratio *EMD^2	5
Similarity-ratio *Lengthd^2	5
Hellinger	4
Manhattan	4
Euclidean	4
Chi-Squared	4
Normalized-Vectors	4
Harmonic-Mean	4
Jefferey-Div	4
K-Div	4
Pearson-Coeff	4
Squared-Chord	4
KL-Cond	4
Intersection	4
RRE-k-r	4
D2z	4
SimMM	4
EuclideanZ	4
Spearman	4
Jaccard	4
D2s	4
Mismatch	4
Canberra	4
Kulczynski1	4
Kulczynski2	4
Similarity-ratio	4
Jensen-Shannon	4
D2-star	4
N2r	4
N2rc	4
N2rrc	4
Hellinger^2	4
Manhattan^2	4
Euclidean^2	4
Chi-Squared^2	4
Normalized-Vectors^2	4
Harmonic-Mean^2	4
Jefferey-Div^2	4
K-Div^2	4
Pearson-Coeff^2	4
Squared-Chord^2	4
KL-Cond^2	4
Intersection^2	4
RRE-k-r^2	4
D2z^2	4
SimMM^2	4
EuclideanZ^2	4
Spearman^2	4
Jaccard^2	4
D2s^2	4
Mismatch^2	4
Canberra^2	4
Kulczynski1^2	4
Kulczynski2^2	4
Similarity-ratio^2	4
Jensen-Shannon^2	4
D2-star^2	4
N2r^2	4
N2rc^2	4
N2rrc^2	4
Hellinger *Manhattan	4
Hellinger *Euclidean	4
Hellinger *Chi-Squared	4
Hellinger *Normalized-Vectors	4
Hellinger *Harmonic-Mean	4
Hellinger *Jefferey-Div	4
Hellinger *K-Div	4
Hellinger *Pearson-Coeff	4
Hellinger *Squared-Chord	4
Hellinger *KL-Cond	4
Hellinger *Markov	4
Hellinger *Intersection	4
Hellinger *RRE-k-r	4
Hellinger *D2z	4
Hellinger *SimMM	4
Hellinger *EuclideanZ	4
Hellinger *EMD	4
Hellinger *Spearman	4
Hellinger *Jaccard	4
Hellinger *Lengthd	4
Hellinger *D2s	4
Hellinger *AFd	4
Hellinger *Mismatch	4
Hellinger *Canberra	4
Hellinger *Kulczynski1	4
Hellinger *Kulczynski2	4
Hellinger *Similarity-ratio	4
Hellinger *Jensen-Shannon	4
Hellinger *D2-star	4
Hellinger *N2r	4
Hellinger *N2rc	4
Hellinger *N2rrc	4
Hellinger *Hellinger^2	4
Hellinger *Manhattan^2	4
Hellinger *Euclidean^2	4
Hellinger *Chi-Squared^2	4
Hellinger *Normalized-Vectors^2	4
