Statistics	Correct_Neighbors
Hellinger	5
Manhattan	5
Euclidean	5
Chi-Squared	5
Normalized-Vectors	5
Harmonic-Mean	5
Jefferey-Div	5
K-Div	5
Pearson-Coeff	5
Squared-Chord	5
KL-Cond	5
Intersection	5
D2z	5
SimMM	5
EuclideanZ	5
Jaccard	5
Lengthd	5
Mismatch	5
Canberra	5
Kulczynski1	5
Kulczynski2	5
Similarity-ratio	5
Jensen-Shannon	5
Hellinger^2	5
Manhattan^2	5
Euclidean^2	5
Chi-Squared^2	5
Normalized-Vectors^2	5
Harmonic-Mean^2	5
Jefferey-Div^2	5
K-Div^2	5
Pearson-Coeff^2	5
Squared-Chord^2	5
KL-Cond^2	5
Intersection^2	5
D2z^2	5
SimMM^2	5
EuclideanZ^2	5
Jaccard^2	5
Lengthd^2	5
Mismatch^2	5
Canberra^2	5
Kulczynski1^2	5
Kulczynski2^2	5
Similarity-ratio^2	5
Jensen-Shannon^2	5
Hellinger *Manhattan	5
Hellinger *Euclidean	5
Hellinger *Chi-Squared	5
Hellinger *Normalized-Vectors	5
Hellinger *Harmonic-Mean	5
Hellinger *Jefferey-Div	5
Hellinger *K-Div	5
Hellinger *Pearson-Coeff	5
Hellinger *Squared-Chord	5
Hellinger *KL-Cond	5
Hellinger *Intersection	5
Hellinger *D2z	5
Hellinger *SimMM	5
Hellinger *EuclideanZ	5
Hellinger *EMD	5
Hellinger *Jaccard	5
Hellinger *Lengthd	5
Hellinger *D2s	5
Hellinger *Mismatch	5
Hellinger *Canberra	5
Hellinger *Kulczynski1	5
Hellinger *Kulczynski2	5
Hellinger *Similarity-ratio	5
Hellinger *Jensen-Shannon	5
Hellinger *Hellinger^2	5
Hellinger *Manhattan^2	5
Hellinger *Euclidean^2	5
Hellinger *Chi-Squared^2	5
Hellinger *Normalized-Vectors^2	5
Hellinger *Harmonic-Mean^2	5
Hellinger *Jefferey-Div^2	5
Hellinger *K-Div^2	5
Hellinger *Pearson-Coeff^2	5
Hellinger *Squared-Chord^2	5
Hellinger *KL-Cond^2	5
Hellinger *Intersection^2	5
Hellinger *D2z^2	5
Hellinger *SimMM^2	5
Hellinger *EuclideanZ^2	5
Hellinger *EMD^2	5
Hellinger *Jaccard^2	5
Hellinger *Lengthd^2	5
Hellinger *D2s^2	5
Hellinger *Mismatch^2	5
Hellinger *Canberra^2	5
Hellinger *Kulczynski1^2	5
Hellinger *Kulczynski2^2	5
Hellinger *Similarity-ratio^2	5
Hellinger *Jensen-Shannon^2	5
Manhattan *Euclidean	5
Manhattan *Chi-Squared	5
Manhattan *Normalized-Vectors	5
Manhattan *Harmonic-Mean	5
Manhattan *Jefferey-Div	5
Manhattan *K-Div	5
Manhattan *Pearson-Coeff	5
Manhattan *Squared-Chord	5
Manhattan *KL-Cond	5
Manhattan *Intersection	5
Manhattan *D2z	5
Manhattan *SimMM	5
Manhattan *EuclideanZ	5
Manhattan *EMD	5
