Statistics	Correct_Neighbors
Manhattan	1
Euclidean	1
Intersection	1
Jaccard	1
Lengthd	1
Mismatch	1
Kulczynski2	1
N2rc	1
Manhattan^2	1
Euclidean^2	1
Intersection^2	1
Jaccard^2	1
Lengthd^2	1
Mismatch^2	1
Kulczynski2^2	1
N2rc^2	1
Manhattan *Euclidean	1
Manhattan *Intersection	1
Manhattan *EMD	1
Manhattan *Jaccard	1
Manhattan *Lengthd	1
Manhattan *Mismatch	1
Manhattan *Kulczynski2	1
Manhattan *N2rc	1
Manhattan *Manhattan^2	1
Manhattan *Euclidean^2	1
Manhattan *Intersection^2	1
Manhattan *EMD^2	1
Manhattan *Jaccard^2	1
Manhattan *Lengthd^2	1
Manhattan *Mismatch^2	1
Manhattan *Kulczynski2^2	1
Manhattan *N2rc^2	1
Euclidean *Intersection	1
Euclidean *EMD	1
Euclidean *Jaccard	1
Euclidean *Lengthd	1
Euclidean *Mismatch	1
Euclidean *Kulczynski2	1
Euclidean *N2rc	1
Euclidean *Manhattan^2	1
Euclidean *Euclidean^2	1
Euclidean *Intersection^2	1
Euclidean *EMD^2	1
Euclidean *Jaccard^2	1
Euclidean *Lengthd^2	1
Euclidean *Mismatch^2	1
Euclidean *Kulczynski2^2	1
Euclidean *N2rc^2	1
Normalized-Vectors *N2rc	1
Normalized-Vectors *N2rc^2	1
Intersection *EMD	1
Intersection *Jaccard	1
Intersection *Lengthd	1
Intersection *Mismatch	1
Intersection *Kulczynski2	1
Intersection *N2rc	1
Intersection *Manhattan^2	1
Intersection *Euclidean^2	1
Intersection *Intersection^2	1
Intersection *EMD^2	1
Intersection *Jaccard^2	1
Intersection *Lengthd^2	1
Intersection *Mismatch^2	1
Intersection *Kulczynski2^2	1
Intersection *N2rc^2	1
EMD *Jaccard	1
EMD *Mismatch	1
EMD *Kulczynski2	1
EMD *N2rc	1
EMD *Manhattan^2	1
EMD *Euclidean^2	1
EMD *Intersection^2	1
EMD *Jaccard^2	1
EMD *Mismatch^2	1
EMD *Kulczynski2^2	1
EMD *N2rc^2	1
Jaccard *Lengthd	1
Jaccard *Mismatch	1
Jaccard *Kulczynski2	1
Jaccard *N2rc	1
Jaccard *Manhattan^2	1
Jaccard *Euclidean^2	1
Jaccard *Intersection^2	1
Jaccard *EMD^2	1
Jaccard *Jaccard^2	1
Jaccard *Lengthd^2	1
Jaccard *Mismatch^2	1
