Statistics	Correct_Neighbors
Lengthd	10
Lengthd^2	10
Manhattan *Lengthd	10
Manhattan *Lengthd^2	10
Euclidean *Lengthd^2	10
Normalized-Vectors *Lengthd	10
Normalized-Vectors *Lengthd^2	10
Pearson-Coeff *Lengthd	10
Pearson-Coeff *Lengthd^2	10
Intersection *Lengthd	10
Intersection *Lengthd^2	10
D2z *Lengthd	10
D2z *Lengthd^2	10
EuclideanZ *Lengthd^2	10
Jaccard *Lengthd^2	10
Lengthd *Kulczynski2	10
Lengthd *Similarity-ratio	10
Lengthd *Normalized-Vectors^2	10
Lengthd *Pearson-Coeff^2	10
Lengthd *D2z^2	10
Lengthd *Lengthd^2	10
Mismatch *Lengthd^2	10
Kulczynski2 *Lengthd^2	10
Similarity-ratio *Lengthd^2	10
Manhattan^2 *Lengthd^2	10
Normalized-Vectors^2 *Lengthd^2	10
Pearson-Coeff^2 *Lengthd^2	10
Intersection^2 *Lengthd^2	10
D2z^2 *Lengthd^2	10
Lengthd^2 *Kulczynski2^2	10
Lengthd^2 *Similarity-ratio^2	10
Euclidean	9
Euclidean^2	9
Manhattan *EMD	9
Manhattan *EMD^2	9
Euclidean *EMD	9
Euclidean *Lengthd	9
Euclidean *Euclidean^2	9
Euclidean *EMD^2	9
Normalized-Vectors *EMD	9
Pearson-Coeff *EMD	9
Markov *Euclidean^2	9
Markov *Similarity-ratio^2	9
Intersection *EMD	9
Intersection *EMD^2	9
RRE-k-r *Lengthd	9
RRE-k-r *Lengthd^2	9
D2z *EMD	9
EuclideanZ *EMD	9
EuclideanZ *Lengthd	9
EuclideanZ *EMD^2	9
EMD *Jaccard	9
EMD *Mismatch	9
EMD *Kulczynski2	9
EMD *Similarity-ratio	9
EMD *Manhattan^2	9
EMD *Euclidean^2	9
EMD *Normalized-Vectors^2	9
EMD *Pearson-Coeff^2	9
EMD *Intersection^2	9
EMD *D2z^2	9
EMD *EuclideanZ^2	9
EMD *Kulczynski2^2	9
EMD *Similarity-ratio^2	9
Jaccard *Lengthd	9
Jaccard *EMD^2	9
Lengthd *Mismatch	9
Lengthd *Manhattan^2	9
Lengthd *Euclidean^2	9
Lengthd *Intersection^2	9
Lengthd *RRE-k-r^2	9
Lengthd *EuclideanZ^2	9
Lengthd *Jaccard^2	9
Lengthd *Mismatch^2	9
Lengthd *Kulczynski2^2	9
Lengthd *Similarity-ratio^2	9
Mismatch *EMD^2	9
Kulczynski2 *EMD^2	9
Similarity-ratio *EMD^2	9
Manhattan^2 *EMD^2	9
Euclidean^2 *EMD^2	9
Euclidean^2 *Lengthd^2	9
Normalized-Vectors^2 *EMD^2	9
Pearson-Coeff^2 *EMD^2	9
Intersection^2 *EMD^2	9
RRE-k-r^2 *Lengthd^2	9
D2z^2 *EMD^2	9
EuclideanZ^2 *EMD^2	9
EuclideanZ^2 *Lengthd^2	9
EMD^2 *Jaccard^2	9
EMD^2 *Mismatch^2	9
EMD^2 *Kulczynski2^2	9
EMD^2 *Similarity-ratio^2	9
Jaccard^2 *Lengthd^2	9
Lengthd^2 *Mismatch^2	9
Hellinger	8
Manhattan	8
Chi-Squared	8
Normalized-Vectors	8
Harmonic-Mean	8
Jefferey-Div	8
K-Div	8
Pearson-Coeff	8
Squared-Chord	8
KL-Cond	8
Intersection	8
RRE-k-r	8
D2z	8
SimMM	8
EuclideanZ	8
Spearman	8
Jaccard	8
D2s	8
Mismatch	8
Canberra	8
Kulczynski1	8
Kulczynski2	8
Similarity-ratio	8
Jensen-Shannon	8
N2r	8
N2rc	8
N2rrc	8
Hellinger^2	8
Manhattan^2	8
Chi-Squared^2	8
Normalized-Vectors^2	8
Harmonic-Mean^2	8
Jefferey-Div^2	8
K-Div^2	8
Pearson-Coeff^2	8
Squared-Chord^2	8
KL-Cond^2	8
Intersection^2	8
RRE-k-r^2	8
D2z^2	8
SimMM^2	8
EuclideanZ^2	8
Spearman^2	8
Jaccard^2	8
D2s^2	8
Mismatch^2	8
Canberra^2	8
Kulczynski1^2	8
Kulczynski2^2	8
Similarity-ratio^2	8
Jensen-Shannon^2	8
N2r^2	8
N2rc^2	8
N2rrc^2	8
Hellinger *Manhattan	8
Hellinger *Euclidean	8
Hellinger *Chi-Squared	8
Hellinger *Normalized-Vectors	8
Hellinger *Harmonic-Mean	8
Hellinger *Jefferey-Div	8
Hellinger *K-Div	8
Hellinger *Pearson-Coeff	8
Hellinger *Squared-Chord	8
Hellinger *KL-Cond	8
Hellinger *Markov	8
Hellinger *Intersection	8
Hellinger *RRE-k-r	8
Hellinger *D2z	8
Hellinger *SimMM	8
Hellinger *EuclideanZ	8
Hellinger *EMD	8
Hellinger *Spearman	8
Hellinger *Jaccard	8
Hellinger *Lengthd	8
Hellinger *D2s	8
Hellinger *AFd	8
Hellinger *Mismatch	8
Hellinger *Canberra	8
Hellinger *Kulczynski1	8
Hellinger *Kulczynski2	8
Hellinger *Similarity-ratio	8
Hellinger *Jensen-Shannon	8
Hellinger *D2-star	8
Hellinger *N2r	8
Hellinger *N2rc	8
Hellinger *N2rrc	8
Hellinger *Hellinger^2	8
Hellinger *Manhattan^2	8
Hellinger *Euclidean^2	8
Hellinger *Chi-Squared^2	8
Hellinger *Normalized-Vectors^2	8
Hellinger *Harmonic-Mean^2	8
Hellinger *Jefferey-Div^2	8
Hellinger *K-Div^2	8
Hellinger *Pearson-Coeff^2	8
Hellinger *Squared-Chord^2	8
Hellinger *KL-Cond^2	8
Hellinger *Intersection^2	8
Hellinger *RRE-k-r^2	8
Hellinger *D2z^2	8
Hellinger *SimMM^2	8
Hellinger *EuclideanZ^2	8
Hellinger *EMD^2	8
Hellinger *Spearman^2	8
Hellinger *Jaccard^2	8
Hellinger *Lengthd^2	8
Hellinger *D2s^2	8
Hellinger *AFd^2	8
Hellinger *Mismatch^2	8
Hellinger *Canberra^2	8
Hellinger *Kulczynski1^2	8
Hellinger *Kulczynski2^2	8
Hellinger *Similarity-ratio^2	8
Hellinger *Jensen-Shannon^2	8
Hellinger *D2-star^2	8
Hellinger *N2r^2	8
Hellinger *N2rc^2	8
Hellinger *N2rrc^2	8
Manhattan *Euclidean	8
Manhattan *Chi-Squared	8
Manhattan *Normalized-Vectors	8
Manhattan *Harmonic-Mean	8
Manhattan *Jefferey-Div	8
Manhattan *K-Div	8
Manhattan *Pearson-Coeff	8
Manhattan *Squared-Chord	8
Manhattan *KL-Cond	8
Manhattan *Markov	8
Manhattan *Intersection	8
Manhattan *RRE-k-r	8
Manhattan *D2z	8
Manhattan *SimMM	8
Manhattan *EuclideanZ	8
Manhattan *Spearman	8
Manhattan *Jaccard	8
Manhattan *D2s	8
Manhattan *AFd	8
Manhattan *Mismatch	8
Manhattan *Canberra	8
Manhattan *Kulczynski1	8
Manhattan *Kulczynski2	8
Manhattan *Similarity-ratio	8
Manhattan *Jensen-Shannon	8
Manhattan *D2-star	8
Manhattan *N2r	8
Manhattan *N2rc	8
Manhattan *N2rrc	8
Manhattan *Hellinger^2	8
Manhattan *Manhattan^2	8
Manhattan *Euclidean^2	8
Manhattan *Chi-Squared^2	8
Manhattan *Normalized-Vectors^2	8
Manhattan *Harmonic-Mean^2	8
Manhattan *Jefferey-Div^2	8
Manhattan *K-Div^2	8
Manhattan *Pearson-Coeff^2	8
Manhattan *Squared-Chord^2	8
Manhattan *KL-Cond^2	8
Manhattan *Intersection^2	8
Manhattan *RRE-k-r^2	8
Manhattan *D2z^2	8
Manhattan *SimMM^2	8
Manhattan *EuclideanZ^2	8
Manhattan *Spearman^2	8
Manhattan *Jaccard^2	8
Manhattan *D2s^2	8
Manhattan *AFd^2	8
Manhattan *Mismatch^2	8
Manhattan *Canberra^2	8
Manhattan *Kulczynski1^2	8
Manhattan *Kulczynski2^2	8
Manhattan *Similarity-ratio^2	8
Manhattan *Jensen-Shannon^2	8
Manhattan *D2-star^2	8
Manhattan *N2r^2	8
Manhattan *N2rc^2	8
Manhattan *N2rrc^2	8
Euclidean *Chi-Squared	8
Euclidean *Normalized-Vectors	8
Euclidean *Harmonic-Mean	8
Euclidean *Jefferey-Div	8
Euclidean *K-Div	8
Euclidean *Pearson-Coeff	8
Euclidean *Squared-Chord	8
Euclidean *KL-Cond	8
Euclidean *Markov	8
Euclidean *Intersection	8
Euclidean *RRE-k-r	8
Euclidean *D2z	8
Euclidean *SimMM	8
Euclidean *EuclideanZ	8
Euclidean *Spearman	8
Euclidean *Jaccard	8
Euclidean *D2s	8
Euclidean *AFd	8
Euclidean *Mismatch	8
Euclidean *Canberra	8
Euclidean *Kulczynski1	8
Euclidean *Kulczynski2	8
Euclidean *Similarity-ratio	8
Euclidean *Jensen-Shannon	8
Euclidean *D2-star	8
Euclidean *N2r	8
Euclidean *N2rc	8
Euclidean *N2rrc	8
Euclidean *Hellinger^2	8
Euclidean *Manhattan^2	8
Euclidean *Chi-Squared^2	8
Euclidean *Normalized-Vectors^2	8
Euclidean *Harmonic-Mean^2	8
Euclidean *Jefferey-Div^2	8
Euclidean *K-Div^2	8
Euclidean *Pearson-Coeff^2	8
Euclidean *Squared-Chord^2	8
Euclidean *KL-Cond^2	8
Euclidean *Markov^2	8
Euclidean *Intersection^2	8
Euclidean *RRE-k-r^2	8
Euclidean *D2z^2	8
Euclidean *SimMM^2	8
Euclidean *EuclideanZ^2	8
Euclidean *Spearman^2	8
Euclidean *Jaccard^2	8
Euclidean *D2s^2	8
Euclidean *AFd^2	8
Euclidean *Mismatch^2	8
Euclidean *Canberra^2	8
Euclidean *Kulczynski1^2	8
Euclidean *Kulczynski2^2	8
Euclidean *Similarity-ratio^2	8
Euclidean *Jensen-Shannon^2	8
Euclidean *D2-star^2	8
Euclidean *N2r^2	8
Euclidean *N2rc^2	8
Euclidean *N2rrc^2	8
Chi-Squared *Normalized-Vectors	8
Chi-Squared *Harmonic-Mean	8
Chi-Squared *Jefferey-Div	8
Chi-Squared *K-Div	8
Chi-Squared *Pearson-Coeff	8
Chi-Squared *Squared-Chord	8
Chi-Squared *KL-Cond	8
Chi-Squared *Markov	8
Chi-Squared *Intersection	8
Chi-Squared *RRE-k-r	8
Chi-Squared *D2z	8
Chi-Squared *SimMM	8
Chi-Squared *EuclideanZ	8
Chi-Squared *EMD	8
Chi-Squared *Spearman	8
Chi-Squared *Jaccard	8
Chi-Squared *Lengthd	8
Chi-Squared *D2s	8
Chi-Squared *AFd	8
Chi-Squared *Mismatch	8
Chi-Squared *Canberra	8
Chi-Squared *Kulczynski1	8
Chi-Squared *Kulczynski2	8
Chi-Squared *Similarity-ratio	8
Chi-Squared *Jensen-Shannon	8
Chi-Squared *D2-star	8
Chi-Squared *N2r	8
Chi-Squared *N2rc	8
Chi-Squared *N2rrc	8
Chi-Squared *Hellinger^2	8
Chi-Squared *Manhattan^2	8
Chi-Squared *Euclidean^2	8
Chi-Squared *Chi-Squared^2	8
Chi-Squared *Normalized-Vectors^2	8
Chi-Squared *Harmonic-Mean^2	8
Chi-Squared *Jefferey-Div^2	8
Chi-Squared *K-Div^2	8
Chi-Squared *Pearson-Coeff^2	8
Chi-Squared *Squared-Chord^2	8
Chi-Squared *KL-Cond^2	8
Chi-Squared *Intersection^2	8
Chi-Squared *RRE-k-r^2	8
Chi-Squared *D2z^2	8
Chi-Squared *SimMM^2	8
Chi-Squared *EuclideanZ^2	8
Chi-Squared *EMD^2	8
Chi-Squared *Spearman^2	8
Chi-Squared *Jaccard^2	8
Chi-Squared *Lengthd^2	8
Chi-Squared *D2s^2	8
Chi-Squared *AFd^2	8
Chi-Squared *Mismatch^2	8
Chi-Squared *Canberra^2	8
Chi-Squared *Kulczynski1^2	8
Chi-Squared *Kulczynski2^2	8
Chi-Squared *Similarity-ratio^2	8
Chi-Squared *Jensen-Shannon^2	8
Chi-Squared *D2-star^2	8
Chi-Squared *N2r^2	8
Chi-Squared *N2rc^2	8
Chi-Squared *N2rrc^2	8
Normalized-Vectors *Harmonic-Mean	8
Normalized-Vectors *Jefferey-Div	8
Normalized-Vectors *K-Div	8
Normalized-Vectors *Pearson-Coeff	8
Normalized-Vectors *Squared-Chord	8
Normalized-Vectors *KL-Cond	8
Normalized-Vectors *Markov	8
Normalized-Vectors *Intersection	8
Normalized-Vectors *RRE-k-r	8
Normalized-Vectors *D2z	8
Normalized-Vectors *SimMM	8
Normalized-Vectors *EuclideanZ	8
Normalized-Vectors *Spearman	8
Normalized-Vectors *Jaccard	8
Normalized-Vectors *D2s	8
Normalized-Vectors *AFd	8
Normalized-Vectors *Mismatch	8
Normalized-Vectors *Canberra	8
Normalized-Vectors *Kulczynski1	8
Normalized-Vectors *Kulczynski2	8
Normalized-Vectors *Similarity-ratio	8
Normalized-Vectors *Jensen-Shannon	8
Normalized-Vectors *D2-star	8
Normalized-Vectors *N2r	8
