Statistics	Correct_Neighbors
Hellinger	2
Manhattan	2
Euclidean	2
Chi-Squared	2
Normalized-Vectors	2
Harmonic-Mean	2
Jefferey-Div	2
K-Div	2
Pearson-Coeff	2
Squared-Chord	2
KL-Cond	2
Intersection	2
RRE-k-r	2
D2z	2
SimMM	2
EuclideanZ	2
Spearman	2
Jaccard	2
Mismatch	2
Canberra	2
Kulczynski1	2
Kulczynski2	2
Similarity-ratio	2
Jensen-Shannon	2
N2r	2
N2rc	2
N2rrc	2
D2s	1
AFd	1
D2-star	1
Markov	0
EMD	0
Lengthd	0
