Statistics	Correct_Neighbors
Lengthd	10
Lengthd^2	10
Manhattan *Lengthd^2	10
Euclidean *Lengthd^2	10
Normalized-Vectors *Lengthd	10
Normalized-Vectors *Lengthd^2	10
Pearson-Coeff *Lengthd	10
Pearson-Coeff *Lengthd^2	10
Intersection *Lengthd^2	10
D2z *Lengthd	10
D2z *Lengthd^2	10
EuclideanZ *Lengthd^2	10
Lengthd *N2r	10
Lengthd *Normalized-Vectors^2	10
Lengthd *Lengthd^2	10
Lengthd *N2r^2	10
Kulczynski2 *Lengthd^2	10
Similarity-ratio *Lengthd^2	10
N2r *Lengthd^2	10
Normalized-Vectors^2 *Lengthd^2	10
Pearson-Coeff^2 *Lengthd^2	10
D2z^2 *Lengthd^2	10
Lengthd^2 *N2r^2	10
Manhattan	9
Euclidean	9
Normalized-Vectors	9
Harmonic-Mean	9
Jefferey-Div	9
K-Div	9
Pearson-Coeff	9
KL-Cond	9
Intersection	9
D2z	9
SimMM	9
EuclideanZ	9
Kulczynski2	9
Similarity-ratio	9
Jensen-Shannon	9
N2r	9
N2rc	9
N2rrc	9
Manhattan^2	9
Euclidean^2	9
Normalized-Vectors^2	9
Harmonic-Mean^2	9
Jefferey-Div^2	9
K-Div^2	9
Pearson-Coeff^2	9
KL-Cond^2	9
Intersection^2	9
D2z^2	9
SimMM^2	9
EuclideanZ^2	9
Kulczynski2^2	9
Similarity-ratio^2	9
Jensen-Shannon^2	9
N2r^2	9
N2rc^2	9
N2rrc^2	9
Hellinger *Euclidean	9
Hellinger *Normalized-Vectors	9
Hellinger *Pearson-Coeff	9
Hellinger *D2z	9
Hellinger *EuclideanZ	9
Hellinger *EMD	9
Hellinger *Lengthd	9
Hellinger *Similarity-ratio	9
Hellinger *N2r	9
Hellinger *N2rrc	9
Hellinger *Euclidean^2	9
Hellinger *Normalized-Vectors^2	9
Hellinger *Pearson-Coeff^2	9
Hellinger *D2z^2	9
Hellinger *EuclideanZ^2	9
Hellinger *Lengthd^2	9
Hellinger *Similarity-ratio^2	9
Hellinger *N2r^2	9
Hellinger *N2rrc^2	9
Manhattan *Euclidean	9
Manhattan *Normalized-Vectors	9
Manhattan *Harmonic-Mean	9
Manhattan *Jefferey-Div	9
Manhattan *K-Div	9
Manhattan *Pearson-Coeff	9
Manhattan *KL-Cond	9
Manhattan *Intersection	9
Manhattan *D2z	9
Manhattan *SimMM	9
Manhattan *EuclideanZ	9
Manhattan *EMD	9
Manhattan *Lengthd	9
Manhattan *D2s	9
Manhattan *AFd	9
Manhattan *Kulczynski2	9
Manhattan *Similarity-ratio	9
Manhattan *Jensen-Shannon	9
Manhattan *N2r	9
Manhattan *N2rc	9
Manhattan *N2rrc	9
Manhattan *Manhattan^2	9
Manhattan *Euclidean^2	9
Manhattan *Normalized-Vectors^2	9
Manhattan *Harmonic-Mean^2	9
Manhattan *Jefferey-Div^2	9
Manhattan *K-Div^2	9
Manhattan *Pearson-Coeff^2	9
Manhattan *KL-Cond^2	9
Manhattan *Intersection^2	9
Manhattan *D2z^2	9
Manhattan *SimMM^2	9
Manhattan *EuclideanZ^2	9
Manhattan *EMD^2	9
Manhattan *D2s^2	9
Manhattan *AFd^2	9
Manhattan *Kulczynski2^2	9
Manhattan *Similarity-ratio^2	9
Manhattan *Jensen-Shannon^2	9
Manhattan *N2r^2	9
Manhattan *N2rc^2	9
Manhattan *N2rrc^2	9
Euclidean *Chi-Squared	9
Euclidean *Normalized-Vectors	9
Euclidean *Harmonic-Mean	9
Euclidean *Jefferey-Div	9
Euclidean *K-Div	9
Euclidean *Pearson-Coeff	9
Euclidean *Squared-Chord	9
Euclidean *KL-Cond	9
Euclidean *Intersection	9
Euclidean *RRE-k-r	9
Euclidean *D2z	9
Euclidean *SimMM	9
Euclidean *EuclideanZ	9
Euclidean *EMD	9
Euclidean *Spearman	9
Euclidean *Jaccard	9
Euclidean *Lengthd	9
Euclidean *D2s	9
Euclidean *AFd	9
Euclidean *Mismatch	9
Euclidean *Canberra	9
Euclidean *Kulczynski1	9
Euclidean *Kulczynski2	9
Euclidean *Similarity-ratio	9
Euclidean *Jensen-Shannon	9
Euclidean *N2r	9
Euclidean *N2rc	9
Euclidean *N2rrc	9
Euclidean *Hellinger^2	9
Euclidean *Manhattan^2	9
Euclidean *Euclidean^2	9
Euclidean *Chi-Squared^2	9
Euclidean *Normalized-Vectors^2	9
Euclidean *Harmonic-Mean^2	9
Euclidean *Jefferey-Div^2	9
Euclidean *K-Div^2	9
Euclidean *Pearson-Coeff^2	9
Euclidean *Squared-Chord^2	9
Euclidean *KL-Cond^2	9
Euclidean *Intersection^2	9
Euclidean *RRE-k-r^2	9
Euclidean *D2z^2	9
Euclidean *SimMM^2	9
Euclidean *EuclideanZ^2	9
Euclidean *EMD^2	9
Euclidean *Spearman^2	9
Euclidean *Jaccard^2	9
Euclidean *D2s^2	9
Euclidean *AFd^2	9
Euclidean *Mismatch^2	9
Euclidean *Kulczynski1^2	9
Euclidean *Kulczynski2^2	9
Euclidean *Similarity-ratio^2	9
Euclidean *Jensen-Shannon^2	9
Euclidean *N2r^2	9
Euclidean *N2rc^2	9
Euclidean *N2rrc^2	9
Chi-Squared *Normalized-Vectors	9
Chi-Squared *K-Div	9
Chi-Squared *Pearson-Coeff	9
Chi-Squared *D2z	9
Chi-Squared *EuclideanZ	9
Chi-Squared *Lengthd	9
Chi-Squared *Similarity-ratio	9
Chi-Squared *N2r	9
Chi-Squared *N2rrc	9
Chi-Squared *Manhattan^2	9
Chi-Squared *Euclidean^2	9
Chi-Squared *Normalized-Vectors^2	9
Chi-Squared *K-Div^2	9
Chi-Squared *Pearson-Coeff^2	9
Chi-Squared *Intersection^2	9
Chi-Squared *D2z^2	9
Chi-Squared *EuclideanZ^2	9
Chi-Squared *Lengthd^2	9
Chi-Squared *Kulczynski2^2	9
Chi-Squared *Similarity-ratio^2	9
Chi-Squared *N2r^2	9
Chi-Squared *N2rc^2	9
Chi-Squared *N2rrc^2	9
Normalized-Vectors *Harmonic-Mean	9
Normalized-Vectors *Jefferey-Div	9
Normalized-Vectors *K-Div	9
Normalized-Vectors *Pearson-Coeff	9
Normalized-Vectors *Squared-Chord	9
Normalized-Vectors *KL-Cond	9
Normalized-Vectors *Intersection	9
Normalized-Vectors *RRE-k-r	9
Normalized-Vectors *D2z	9
Normalized-Vectors *SimMM	9
Normalized-Vectors *EuclideanZ	9
Normalized-Vectors *EMD	9
Normalized-Vectors *AFd	9
Normalized-Vectors *Kulczynski2	9
Normalized-Vectors *Similarity-ratio	9
Normalized-Vectors *Jensen-Shannon	9
Normalized-Vectors *N2r	9
Normalized-Vectors *N2rc	9
Normalized-Vectors *N2rrc	9
Normalized-Vectors *Manhattan^2	9
Normalized-Vectors *Euclidean^2	9
Normalized-Vectors *Chi-Squared^2	9
Normalized-Vectors *Normalized-Vectors^2	9
Normalized-Vectors *Harmonic-Mean^2	9
Normalized-Vectors *Jefferey-Div^2	9
Normalized-Vectors *K-Div^2	9
Normalized-Vectors *Pearson-Coeff^2	9
Normalized-Vectors *Squared-Chord^2	9
Normalized-Vectors *KL-Cond^2	9
Normalized-Vectors *Intersection^2	9
Normalized-Vectors *RRE-k-r^2	9
Normalized-Vectors *D2z^2	9
Normalized-Vectors *SimMM^2	9
Normalized-Vectors *EuclideanZ^2	9
Normalized-Vectors *AFd^2	9
Normalized-Vectors *Kulczynski2^2	9
Normalized-Vectors *Similarity-ratio^2	9
Normalized-Vectors *Jensen-Shannon^2	9
Normalized-Vectors *N2r^2	9
Normalized-Vectors *N2rc^2	9
Normalized-Vectors *N2rrc^2	9
Harmonic-Mean *Jefferey-Div	9
Harmonic-Mean *K-Div	9
Harmonic-Mean *Pearson-Coeff	9
Harmonic-Mean *KL-Cond	9
Harmonic-Mean *Intersection	9
Harmonic-Mean *D2z	9
Harmonic-Mean *SimMM	9
Harmonic-Mean *EuclideanZ	9
Harmonic-Mean *Lengthd	9
Harmonic-Mean *AFd	9
Harmonic-Mean *Kulczynski2	9
Harmonic-Mean *Similarity-ratio	9
Harmonic-Mean *Jensen-Shannon	9
Harmonic-Mean *N2r	9
Harmonic-Mean *N2rc	9
Harmonic-Mean *N2rrc	9
Harmonic-Mean *Manhattan^2	9
Harmonic-Mean *Euclidean^2	9
Harmonic-Mean *Normalized-Vectors^2	9
Harmonic-Mean *Harmonic-Mean^2	9
Harmonic-Mean *Jefferey-Div^2	9
Harmonic-Mean *K-Div^2	9
Harmonic-Mean *Pearson-Coeff^2	9
Harmonic-Mean *KL-Cond^2	9
Harmonic-Mean *Intersection^2	9
Harmonic-Mean *D2z^2	9
Harmonic-Mean *SimMM^2	9
Harmonic-Mean *EuclideanZ^2	9
Harmonic-Mean *Lengthd^2	9
Harmonic-Mean *AFd^2	9
Harmonic-Mean *Kulczynski2^2	9
Harmonic-Mean *Similarity-ratio^2	9
Harmonic-Mean *Jensen-Shannon^2	9
Harmonic-Mean *N2r^2	9
Harmonic-Mean *N2rc^2	9
Harmonic-Mean *N2rrc^2	9
Jefferey-Div *K-Div	9
Jefferey-Div *Pearson-Coeff	9
Jefferey-Div *KL-Cond	9
Jefferey-Div *Intersection	9
Jefferey-Div *D2z	9
Jefferey-Div *SimMM	9
Jefferey-Div *EuclideanZ	9
Jefferey-Div *Lengthd	9
Jefferey-Div *AFd	9
Jefferey-Div *Kulczynski2	9
Jefferey-Div *Similarity-ratio	9
Jefferey-Div *Jensen-Shannon	9
Jefferey-Div *N2r	9
Jefferey-Div *N2rc	9
Jefferey-Div *N2rrc	9
Jefferey-Div *Manhattan^2	9
Jefferey-Div *Euclidean^2	9
Jefferey-Div *Normalized-Vectors^2	9
Jefferey-Div *Harmonic-Mean^2	9
Jefferey-Div *Jefferey-Div^2	9
Jefferey-Div *K-Div^2	9
Jefferey-Div *Pearson-Coeff^2	9
Jefferey-Div *KL-Cond^2	9
Jefferey-Div *Intersection^2	9
Jefferey-Div *D2z^2	9
Jefferey-Div *SimMM^2	9
Jefferey-Div *EuclideanZ^2	9
Jefferey-Div *Lengthd^2	9
Jefferey-Div *AFd^2	9
Jefferey-Div *Kulczynski2^2	9
Jefferey-Div *Similarity-ratio^2	9
Jefferey-Div *Jensen-Shannon^2	9
Jefferey-Div *N2r^2	9
Jefferey-Div *N2rc^2	9
Jefferey-Div *N2rrc^2	9
K-Div *Pearson-Coeff	9
K-Div *Squared-Chord	9
K-Div *KL-Cond	9
K-Div *Intersection	9
K-Div *D2z	9
K-Div *SimMM	9
K-Div *EuclideanZ	9
K-Div *Lengthd	9
K-Div *AFd	9
K-Div *Kulczynski2	9
K-Div *Similarity-ratio	9
K-Div *Jensen-Shannon	9
K-Div *N2r	9
K-Div *N2rc	9
K-Div *N2rrc	9
K-Div *Manhattan^2	9
K-Div *Euclidean^2	9
K-Div *Normalized-Vectors^2	9
K-Div *Harmonic-Mean^2	9
K-Div *Jefferey-Div^2	9
K-Div *K-Div^2	9
K-Div *Pearson-Coeff^2	9
K-Div *KL-Cond^2	9
K-Div *Intersection^2	9
K-Div *D2z^2	9
K-Div *SimMM^2	9
K-Div *EuclideanZ^2	9
K-Div *Lengthd^2	9
K-Div *AFd^2	9
K-Div *Kulczynski2^2	9
K-Div *Similarity-ratio^2	9
K-Div *Jensen-Shannon^2	9
K-Div *N2r^2	9
K-Div *N2rc^2	9
K-Div *N2rrc^2	9
Pearson-Coeff *Squared-Chord	9
Pearson-Coeff *KL-Cond	9
Pearson-Coeff *Intersection	9
Pearson-Coeff *RRE-k-r	9
Pearson-Coeff *D2z	9
Pearson-Coeff *SimMM	9
Pearson-Coeff *EuclideanZ	9
Pearson-Coeff *EMD	9
Pearson-Coeff *D2s	9
Pearson-Coeff *AFd	9
Pearson-Coeff *Kulczynski2	9
Pearson-Coeff *Similarity-ratio	9
Pearson-Coeff *Jensen-Shannon	9
Pearson-Coeff *N2r	9
Pearson-Coeff *N2rc	9
Pearson-Coeff *N2rrc	9
Pearson-Coeff *Manhattan^2	9
Pearson-Coeff *Euclidean^2	9
Pearson-Coeff *Chi-Squared^2	9
Pearson-Coeff *Normalized-Vectors^2	9
Pearson-Coeff *Harmonic-Mean^2	9
Pearson-Coeff *Jefferey-Div^2	9
Pearson-Coeff *K-Div^2	9
Pearson-Coeff *Pearson-Coeff^2	9
Pearson-Coeff *Squared-Chord^2	9
Pearson-Coeff *KL-Cond^2	9
Pearson-Coeff *Intersection^2	9
Pearson-Coeff *RRE-k-r^2	9
Pearson-Coeff *D2z^2	9
Pearson-Coeff *SimMM^2	9
Pearson-Coeff *EuclideanZ^2	9
Pearson-Coeff *AFd^2	9
Pearson-Coeff *Kulczynski2^2	9
Pearson-Coeff *Similarity-ratio^2	9
Pearson-Coeff *Jensen-Shannon^2	9
