Statistics	Correct_Neighbors
Lengthd	10
Lengthd^2	10
Lengthd *Lengthd^2	10
Manhattan	8
Euclidean	8
Intersection	8
Jaccard	8
Mismatch	8
Kulczynski2	8
Similarity-ratio	8
N2r	8
N2rc	8
N2rrc	8
Manhattan^2	8
Euclidean^2	8
Intersection^2	8
Jaccard^2	8
Mismatch^2	8
Kulczynski2^2	8
Similarity-ratio^2	8
N2r^2	8
N2rc^2	8
N2rrc^2	8
Hellinger *N2r	8
Hellinger *N2rc	8
Hellinger *N2rrc	8
Hellinger *N2r^2	8
Hellinger *N2rc^2	8
Hellinger *N2rrc^2	8
Manhattan *Euclidean	8
Manhattan *Markov	8
Manhattan *Intersection	8
Manhattan *Jaccard	8
Manhattan *Lengthd	8
Manhattan *Mismatch	8
Manhattan *Kulczynski2	8
Manhattan *Similarity-ratio	8
Manhattan *N2r	8
Manhattan *N2rc	8
Manhattan *N2rrc	8
Manhattan *Manhattan^2	8
Manhattan *Euclidean^2	8
Manhattan *Intersection^2	8
Manhattan *Jaccard^2	8
Manhattan *Lengthd^2	8
Manhattan *Mismatch^2	8
Manhattan *Kulczynski2^2	8
Manhattan *Similarity-ratio^2	8
Manhattan *N2r^2	8
Manhattan *N2rc^2	8
Manhattan *N2rrc^2	8
Euclidean *Intersection	8
Euclidean *Jaccard	8
Euclidean *Lengthd	8
Euclidean *Mismatch	8
Euclidean *Kulczynski2	8
Euclidean *Similarity-ratio	8
Euclidean *N2r	8
Euclidean *N2rc	8
Euclidean *N2rrc	8
Euclidean *Manhattan^2	8
Euclidean *Euclidean^2	8
Euclidean *Intersection^2	8
Euclidean *Jaccard^2	8
Euclidean *Lengthd^2	8
Euclidean *Mismatch^2	8
Euclidean *Kulczynski2^2	8
Euclidean *Similarity-ratio^2	8
Euclidean *N2r^2	8
Euclidean *N2rc^2	8
Euclidean *N2rrc^2	8
Chi-Squared *Similarity-ratio	8
Chi-Squared *N2r	8
Chi-Squared *N2rc	8
Chi-Squared *N2rrc	8
Chi-Squared *Similarity-ratio^2	8
Chi-Squared *N2r^2	8
Chi-Squared *N2rc^2	8
Chi-Squared *N2rrc^2	8
Normalized-Vectors *Similarity-ratio	8
Normalized-Vectors *N2r	8
Normalized-Vectors *N2rc	8
Normalized-Vectors *N2rrc	8
Normalized-Vectors *Similarity-ratio^2	8
Normalized-Vectors *N2r^2	8
Normalized-Vectors *N2rc^2	8
Normalized-Vectors *N2rrc^2	8
Harmonic-Mean *Similarity-ratio	8
Harmonic-Mean *N2r	8
Harmonic-Mean *N2rc	8
Harmonic-Mean *N2rrc	8
Harmonic-Mean *Similarity-ratio^2	8
Harmonic-Mean *N2r^2	8
Harmonic-Mean *N2rc^2	8
Harmonic-Mean *N2rrc^2	8
Jefferey-Div *Similarity-ratio	8
Jefferey-Div *N2r	8
Jefferey-Div *N2rc	8
Jefferey-Div *N2rrc	8
Jefferey-Div *Similarity-ratio^2	8
Jefferey-Div *N2r^2	8
Jefferey-Div *N2rc^2	8
Jefferey-Div *N2rrc^2	8
K-Div *Similarity-ratio	8
K-Div *N2r	8
K-Div *N2rc	8
K-Div *N2rrc	8
K-Div *Similarity-ratio^2	8
K-Div *N2r^2	8
K-Div *N2rc^2	8
K-Div *N2rrc^2	8
Pearson-Coeff *N2r	8
Pearson-Coeff *N2rc	8
Pearson-Coeff *N2rrc	8
Pearson-Coeff *N2r^2	8
Pearson-Coeff *N2rc^2	8
Pearson-Coeff *N2rrc^2	8
Squared-Chord *Similarity-ratio	8
Squared-Chord *N2r	8
Squared-Chord *N2rc	8
Squared-Chord *N2rrc	8
Squared-Chord *Similarity-ratio^2	8
Squared-Chord *N2r^2	8
Squared-Chord *N2rc^2	8
Squared-Chord *N2rrc^2	8
KL-Cond *Similarity-ratio	8
KL-Cond *N2r	8
KL-Cond *N2rc	8
KL-Cond *N2rrc	8
KL-Cond *Similarity-ratio^2	8
KL-Cond *N2r^2	8
KL-Cond *N2rc^2	8
KL-Cond *N2rrc^2	8
Markov *Intersection	8
Markov *Jaccard	8
Markov *Mismatch	8
Markov *Canberra	8
Markov *Kulczynski1	8
Markov *Kulczynski2	8
Markov *Similarity-ratio	8
Markov *Manhattan^2	8
Markov *Euclidean^2	8
Markov *Intersection^2	8
Markov *Jaccard^2	8
Markov *Mismatch^2	8
Markov *Canberra^2	8
Markov *Kulczynski1^2	8
Markov *Kulczynski2^2	8
Markov *Similarity-ratio^2	8
Intersection *Jaccard	8
Intersection *Lengthd	8
Intersection *Mismatch	8
Intersection *Kulczynski2	8
Intersection *Similarity-ratio	8
Intersection *N2r	8
Intersection *N2rc	8
Intersection *N2rrc	8
Intersection *Manhattan^2	8
Intersection *Euclidean^2	8
Intersection *Intersection^2	8
Intersection *Jaccard^2	8
Intersection *Lengthd^2	8
Intersection *Mismatch^2	8
Intersection *Kulczynski2^2	8
Intersection *Similarity-ratio^2	8
Intersection *N2r^2	8
Intersection *N2rc^2	8
Intersection *N2rrc^2	8
RRE-k-r *N2r	8
RRE-k-r *N2rc	8
RRE-k-r *N2rrc	8
RRE-k-r *Similarity-ratio^2	8
RRE-k-r *N2r^2	8
RRE-k-r *N2rc^2	8
RRE-k-r *N2rrc^2	8
D2z *N2r	8
D2z *N2rc	8
D2z *N2rrc	8
D2z *N2r^2	8
D2z *N2rc^2	8
D2z *N2rrc^2	8
SimMM *Similarity-ratio	8
SimMM *N2r	8
SimMM *N2rc	8
SimMM *N2rrc	8
SimMM *Similarity-ratio^2	8
SimMM *N2r^2	8
SimMM *N2rc^2	8
SimMM *N2rrc^2	8
EuclideanZ *N2rrc	8
EuclideanZ *N2r^2	8
EuclideanZ *N2rrc^2	8
EMD *N2rrc^2	8
Spearman *N2rrc^2	8
Jaccard *Lengthd	8
Jaccard *Mismatch	8
Jaccard *Kulczynski2	8
Jaccard *Similarity-ratio	8
Jaccard *N2r	8
Jaccard *N2rc	8
Jaccard *N2rrc	8
Jaccard *Manhattan^2	8
Jaccard *Euclidean^2	8
Jaccard *Markov^2	8
Jaccard *Intersection^2	8
Jaccard *Jaccard^2	8
Jaccard *Lengthd^2	8
Jaccard *Mismatch^2	8
Jaccard *Kulczynski2^2	8
Jaccard *Similarity-ratio^2	8
Jaccard *N2r^2	8
Jaccard *N2rc^2	8
Jaccard *N2rrc^2	8
Lengthd *Mismatch	8
Lengthd *Kulczynski2	8
Lengthd *Similarity-ratio	8
Lengthd *N2r	8
Lengthd *N2rc	8
Lengthd *N2rrc	8
Lengthd *Manhattan^2	8
Lengthd *Euclidean^2	8
Lengthd *Intersection^2	8
Lengthd *Jaccard^2	8
Lengthd *Mismatch^2	8
Lengthd *Kulczynski2^2	8
Lengthd *Similarity-ratio^2	8
Lengthd *N2r^2	8
Lengthd *N2rc^2	8
Lengthd *N2rrc^2	8
AFd *Similarity-ratio	8
AFd *N2r	8
AFd *N2rc	8
AFd *N2rrc	8
AFd *Similarity-ratio^2	8
AFd *N2r^2	8
AFd *N2rc^2	8
AFd *N2rrc^2	8
Mismatch *Kulczynski2	8
Mismatch *Similarity-ratio	8
Mismatch *N2r	8
Mismatch *N2rc	8
Mismatch *N2rrc	8
Mismatch *Manhattan^2	8
Mismatch *Euclidean^2	8
Mismatch *Markov^2	8
Mismatch *Intersection^2	8
Mismatch *Jaccard^2	8
Mismatch *Lengthd^2	8
Mismatch *Mismatch^2	8
Mismatch *Kulczynski2^2	8
Mismatch *Similarity-ratio^2	8
Mismatch *N2r^2	8
Mismatch *N2rc^2	8
Mismatch *N2rrc^2	8
Canberra *N2r	8
Canberra *N2rc	8
Canberra *N2rrc	8
Canberra *N2r^2	8
Canberra *N2rc^2	8
Canberra *N2rrc^2	8
Kulczynski1 *N2r	8
Kulczynski1 *N2rc	8
Kulczynski1 *N2rrc	8
Kulczynski1 *N2r^2	8
Kulczynski1 *N2rc^2	8
Kulczynski1 *N2rrc^2	8
Kulczynski2 *Similarity-ratio	8
Kulczynski2 *N2r	8
Kulczynski2 *N2rc	8
Kulczynski2 *N2rrc	8
Kulczynski2 *Manhattan^2	8
Kulczynski2 *Euclidean^2	8
Kulczynski2 *Intersection^2	8
Kulczynski2 *Jaccard^2	8
Kulczynski2 *Lengthd^2	8
Kulczynski2 *Mismatch^2	8
Kulczynski2 *Kulczynski2^2	8
Kulczynski2 *Similarity-ratio^2	8
Kulczynski2 *N2r^2	8
Kulczynski2 *N2rc^2	8
Kulczynski2 *N2rrc^2	8
Similarity-ratio *Jensen-Shannon	8
Similarity-ratio *N2r	8
Similarity-ratio *N2rc	8
Similarity-ratio *N2rrc	8
Similarity-ratio *Manhattan^2	8
Similarity-ratio *Euclidean^2	8
Similarity-ratio *Normalized-Vectors^2	8
Similarity-ratio *KL-Cond^2	8
Similarity-ratio *Intersection^2	8
Similarity-ratio *SimMM^2	8
Similarity-ratio *Jaccard^2	8
Similarity-ratio *Lengthd^2	8
Similarity-ratio *AFd^2	8
Similarity-ratio *Mismatch^2	8
Similarity-ratio *Kulczynski2^2	8
Similarity-ratio *Similarity-ratio^2	8
Similarity-ratio *N2r^2	8
Similarity-ratio *N2rc^2	8
Similarity-ratio *N2rrc^2	8
Jensen-Shannon *N2r	8
Jensen-Shannon *N2rc	8
Jensen-Shannon *N2rrc	8
Jensen-Shannon *Similarity-ratio^2	8
Jensen-Shannon *N2r^2	8
Jensen-Shannon *N2rc^2	8
Jensen-Shannon *N2rrc^2	8
N2r *N2rc	8
N2r *N2rrc	8
N2r *Hellinger^2	8
N2r *Manhattan^2	8
N2r *Euclidean^2	8
N2r *Chi-Squared^2	8
N2r *Normalized-Vectors^2	8
N2r *Harmonic-Mean^2	8
N2r *Jefferey-Div^2	8
N2r *K-Div^2	8
N2r *Pearson-Coeff^2	8
N2r *Squared-Chord^2	8
N2r *KL-Cond^2	8
N2r *Intersection^2	8
N2r *RRE-k-r^2	8
N2r *D2z^2	8
N2r *SimMM^2	8
N2r *Jaccard^2	8
N2r *Lengthd^2	8
N2r *AFd^2	8
N2r *Mismatch^2	8
N2r *Canberra^2	8
N2r *Kulczynski1^2	8
N2r *Kulczynski2^2	8
N2r *Similarity-ratio^2	8
N2r *Jensen-Shannon^2	8
N2r *N2r^2	8
N2r *N2rc^2	8
N2r *N2rrc^2	8
N2rc *N2rrc	8
N2rc *Hellinger^2	8
N2rc *Manhattan^2	8
N2rc *Euclidean^2	8
N2rc *Chi-Squared^2	8
N2rc *Normalized-Vectors^2	8
N2rc *Harmonic-Mean^2	8
N2rc *Jefferey-Div^2	8
N2rc *K-Div^2	8
N2rc *Pearson-Coeff^2	8
N2rc *Squared-Chord^2	8
N2rc *KL-Cond^2	8
N2rc *Intersection^2	8
N2rc *RRE-k-r^2	8
N2rc *D2z^2	8
N2rc *SimMM^2	8
N2rc *Jaccard^2	8
N2rc *Lengthd^2	8
N2rc *AFd^2	8
N2rc *Mismatch^2	8
N2rc *Kulczynski1^2	8
N2rc *Kulczynski2^2	8
N2rc *Similarity-ratio^2	8
N2rc *Jensen-Shannon^2	8
N2rc *N2r^2	8
N2rc *N2rc^2	8
N2rc *N2rrc^2	8
N2rrc *Hellinger^2	8
N2rrc *Manhattan^2	8
N2rrc *Euclidean^2	8
N2rrc *Chi-Squared^2	8
N2rrc *Normalized-Vectors^2	8
N2rrc *Harmonic-Mean^2	8
N2rrc *Jefferey-Div^2	8
N2rrc *K-Div^2	8
N2rrc *Pearson-Coeff^2	8
N2rrc *Squared-Chord^2	8
N2rrc *KL-Cond^2	8
N2rrc *Intersection^2	8
N2rrc *RRE-k-r^2	8
N2rrc *D2z^2	8
N2rrc *SimMM^2	8
N2rrc *Jaccard^2	8
N2rrc *Lengthd^2	8
N2rrc *AFd^2	8
N2rrc *Mismatch^2	8
N2rrc *Canberra^2	8
N2rrc *Kulczynski1^2	8
N2rrc *Kulczynski2^2	8
N2rrc *Similarity-ratio^2	8
N2rrc *Jensen-Shannon^2	8
N2rrc *N2r^2	8
N2rrc *N2rc^2	8
N2rrc *N2rrc^2	8
Hellinger^2 *N2r^2	8
Hellinger^2 *N2rc^2	8
Hellinger^2 *N2rrc^2	8
Manhattan^2 *Euclidean^2	8
Manhattan^2 *Markov^2	8
Manhattan^2 *Intersection^2	8
Manhattan^2 *Jaccard^2	8
Manhattan^2 *Lengthd^2	8
Manhattan^2 *Mismatch^2	8
Manhattan^2 *Kulczynski2^2	8
Manhattan^2 *Similarity-ratio^2	8
Manhattan^2 *N2r^2	8
Manhattan^2 *N2rc^2	8
Manhattan^2 *N2rrc^2	8
Euclidean^2 *Intersection^2	8
Euclidean^2 *Jaccard^2	8
Euclidean^2 *Lengthd^2	8
Euclidean^2 *Mismatch^2	8
Euclidean^2 *Kulczynski2^2	8
Euclidean^2 *Similarity-ratio^2	8
